order_id,user_id,account_age_days,order_value,user_avg_order_value,delivery_distance_km,order_hour,payment_method,gps_verified,address_verified,order_count_today,is_fake,rule_based_score
order_005082,user_5606,219,31559,23555,4.9,11,ewallet,True,True,3,False,0
order_009351,user_9901,167,33177,38449,1.7,10,ewallet,True,False,1,False,10
order_010983,user_4228,96,55987,65681,6.9,17,ewallet,True,True,2,False,0
order_023622,user_1456,289,42930,39912,1.9,10,credit,True,True,2,False,0
order_013236,user_2955,70,42765,52552,7.1,10,cod,True,False,3,False,15
order_019368,user_6282,320,60782,63783,6.2,13,ewallet,True,True,2,False,0
order_001191,user_3793,48,63353,65990,2.1,15,cod,True,True,2,False,5
order_000822,user_9106,272,42585,51629,3.8,21,ewallet,True,True,1,False,0
order_015879,user_1443,69,28836,23730,1.5,16,credit,True,True,3,False,0
order_020498,user_7644,200,31720,37319,3.5,12,ewallet,True,True,1,False,0
order_009420,user_5825,98,52817,46916,1.2,13,credit,True,True,2,False,0
order_028101,user_19864,7,113402,37168,15.5,5,cod,True,True,10,True,80
order_008893,user_5402,90,59056,68381,7.6,1,credit,True,True,2,False,15
order_004462,user_6818,37,61695,53363,1.3,16,credit,False,True,1,False,10
order_025230,user_13496,3,281791,31605,18.8,12,ewallet,True,False,4,True,70
order_029986,user_16089,12,146806,22698,10.4,4,ewallet,False,False,9,True,95
order_012607,user_3057,34,63621,63450,2.9,15,ewallet,True,True,1,False,0
order_025979,user_11482,11,161338,26182,13.4,2,cod,True,False,10,True,90
order_019133,user_4371,329,54508,63891,4.4,16,ewallet,True,False,3,False,10
order_014741,user_7539,120,46896,55653,7.2,9,ewallet,True,True,1,False,0
order_012147,user_5930,44,56162,48162,7.1,22,ewallet,True,False,2,False,10
order_002745,user_8042,46,66372,56813,7.0,4,ewallet,False,True,1,False,25
order_010115,user_8745,112,28733,28680,2.7,14,cod,False,True,1,False,15
order_002384,user_7737,61,36361,27842,6.6,11,ewallet,True,True,1,False,0
order_009154,user_1705,302,35263,38485,6.8,14,credit,True,True,2,False,0
order_001407,user_6344,149,45482,51085,6.5,15,ewallet,True,True,1,False,0
order_016561,user_8588,255,31788,26173,3.2,18,ewallet,True,True,3,False,0
order_019362,user_4132,101,44297,53280,7.6,16,ewallet,True,True,3,False,0
order_010343,user_2354,288,47363,45223,4.6,16,ewallet,True,False,1,False,10
order_027757,user_10495,5,213763,23877,14.6,3,cod,False,False,4,True,100
order_017615,user_6126,95,55767,62303,7.0,13,credit,True,True,1,False,0
order_019907,user_3515,174,49849,57289,3.7,16,credit,True,True,2,False,0
order_024531,user_18375,8,195544,20134,12.3,3,credit,False,False,6,True,95
order_027309,user_11057,10,276563,23106,8.8,11,cod,False,False,9,True,70
order_017789,user_3231,49,49808,48992,2.8,14,ewallet,False,True,1,False,10
order_013076,user_3548,224,45250,35314,3.9,16,cod,True,True,1,False,5
order_022090,user_8235,313,27603,35016,5.1,17,cod,True,True,1,False,5
order_028574,user_16699,13,225059,21162,10.3,22,credit,False,True,6,True,70
order_020569,user_6735,30,70913,61951,4.9,23,ewallet,True,True,1,False,15
order_017891,user_6733,98,48196,57409,1.9,18,ewallet,True,True,1,False,0
order_016838,user_4880,96,74471,66156,6.3,18,ewallet,True,True,2,False,0
order_006553,user_6887,145,37578,45417,3.1,9,credit,True,True,2,False,0
order_019638,user_5827,354,70468,71580,6.5,16,ewallet,True,True,2,False,0
order_018295,user_9601,188,51979,49512,7.2,11,ewallet,False,True,3,False,10
order_002877,user_8275,65,68914,61712,1.4,12,ewallet,True,True,2,False,0
order_002983,user_1387,117,31083,29866,3.0,6,cod,True,True,1,False,5
order_017411,user_8216,89,46110,55352,5.0,9,cod,True,True,3,False,5
order_015163,user_3746,295,73348,77025,8.0,11,credit,True,True,1,False,0
order_002154,user_6690,80,31603,23036,2.3,8,credit,True,True,1,False,0
order_018701,user_7264,171,41086,42323,7.7,12,ewallet,True,True,1,False,0
order_007668,user_6505,183,66715,58412,4.1,10,ewallet,True,True,1,False,0
order_015244,user_4723,131,28284,32147,4.4,13,cod,True,True,1,False,5
order_016858,user_5755,294,29651,27443,5.1,22,ewallet,True,True,1,False,0
order_013962,user_8296,288,29117,26363,4.8,18,cod,True,True,1,False,5
order_000218,user_8314,336,69041,60636,2.7,5,ewallet,True,True,2,False,15
order_023288,user_3415,46,39833,37610,1.3,8,ewallet,True,True,1,False,0
order_002214,user_6682,318,73930,81571,8.0,10,ewallet,False,True,1,False,10
order_006581,user_4199,241,49475,54098,3.9,21,ewallet,True,True,3,False,0
order_027603,user_18893,6,201255,20702,13.9,23,credit,True,False,4,True,85
order_019377,user_9336,111,69601,62764,7.2,14,ewallet,True,True,2,False,0
order_007540,user_1910,206,45450,46611,2.3,15,credit,True,True,1,False,0
order_014977,user_4587,244,38372,38824,5.2,19,ewallet,True,True,1,False,0
order_010129,user_3749,303,40642,46792,5.3,5,ewallet,False,True,1,False,25
order_005706,user_1916,313,62612,69664,5.3,10,cod,True,True,1,False,5
order_005954,user_6235,304,32057,38608,1.8,6,ewallet,False,True,2,False,10
order_000539,user_3155,133,25231,23524,1.1,13,ewallet,True,True,1,False,0
order_021664,user_5075,99,30618,36093,2.8,7,ewallet,False,True,2,False,10
order_021568,user_8545,61,33470,43037,4.8,18,ewallet,True,True,2,False,0
order_028983,user_12867,10,219039,21095,9.5,9,cod,True,False,9,True,60
order_007428,user_9380,90,70902,73498,5.2,17,credit,True,True,1,False,0
order_020726,user_9610,66,36636,45584,1.6,16,ewallet,True,True,2,False,0
order_004182,user_1394,201,71956,69127,3.7,20,ewallet,True,True,3,False,0
order_018702,user_5226,343,50924,52941,1.6,17,credit,True,False,2,False,10
order_015415,user_7985,232,29589,38295,7.6,8,cod,True,True,1,False,5
order_012155,user_7474,144,52947,56228,4.2,19,cod,True,True,3,False,5
order_000580,user_7731,309,62771,64795,1.2,4,ewallet,True,True,3,False,15
order_002169,user_5252,233,68671,74142,1.1,18,credit,True,True,2,False,0
order_024420,user_13528,4,199763,33634,13.2,4,cod,False,True,5,True,90
order_000251,user_9939,122,69676,77701,1.2,17,cod,True,True,3,False,5
order_015693,user_6727,228,33268,23926,2.8,6,credit,False,True,2,False,10
order_009972,user_1409,353,52816,49103,7.7,7,credit,True,True,2,False,0
order_016181,user_7135,114,48117,55190,4.6,6,credit,True,True,2,False,0
order_011490,user_8258,121,57423,48770,7.4,21,cod,True,True,2,False,5
order_009145,user_8398,160,50046,45337,7.9,12,credit,True,True,1,False,0
order_029433,user_17394,14,147458,39604,10.5,20,cod,False,False,5,True,75
order_025791,user_19310,3,119119,20330,12.7,1,cod,False,True,5,True,90
order_005772,user_3181,276,59418,50695,5.4,8,ewallet,False,True,2,False,10
order_026747,user_19225,0,292116,31192,8.3,16,ewallet,False,False,5,True,65
order_002326,user_1114,273,56287,55220,3.5,10,ewallet,True,True,3,False,0
order_015431,user_8276,213,28484,30623,4.6,11,ewallet,True,True,1,False,0
order_000431,user_8844,275,38808,48167,2.1,19,ewallet,True,True,1,False,0
order_010769,user_6396,306,29508,28981,4.5,11,credit,True,True,1,False,0
order_002533,user_6638,141,33959,31637,1.6,12,credit,True,True,2,False,0
order_002458,user_1081,118,42282,51407,4.6,12,ewallet,True,True,2,False,0
order_019187,user_7538,143,55007,57654,4.8,15,ewallet,True,True,2,False,0
order_027236,user_17981,2,109329,24187,9.3,3,cod,False,True,6,True,85
order_022292,user_6219,208,54472,63375,6.0,10,ewallet,True,True,1,False,0
order_011213,user_7777,112,50795,42879,7.3,9,credit,True,True,2,False,0
order_000506,user_5921,49,72893,81776,3.7,18,cod,True,True,1,False,5
order_023113,user_1905,105,35300,26491,5.9,12,credit,True,True,2,False,0
order_018780,user_9618,143,35734,40009,6.5,13,credit,True,True,1,False,0
order_019083,user_8120,334,31928,32830,6.8,12,credit,True,True,1,False,0
order_017895,user_9382,176,69912,62361,2.8,10,cod,True,False,2,False,15
order_019007,user_7084,297,38150,38011,5.0,16,credit,True,True,1,False,0
order_019691,user_6991,318,38108,31646,3.5,20,ewallet,True,True,2,False,0
order_027094,user_18516,11,262927,25214,8.1,7,cod,False,True,6,True,60
order_023180,user_6151,363,32535,39884,7.3,19,credit,True,True,1,False,0
order_012627,user_8360,134,55749,63895,1.7,5,credit,False,False,2,False,35
order_003835,user_7584,323,40202,49002,5.5,4,credit,True,True,2,False,15
order_001331,user_5523,321,41515,32418,6.0,13,credit,False,False,1,False,20
order_021467,user_8642,209,42376,49892,5.5,7,cod,True,False,1,False,15
order_023829,user_5605,195,50751,47219,5.8,11,ewallet,True,True,3,False,0
order_002542,user_3433,154,71074,63470,2.5,10,ewallet,True,True,1,False,0
order_028613,user_18934,11,265992,26549,14.6,23,ewallet,False,False,9,True,95
order_021996,user_5585,64,42351,42621,6.7,9,ewallet,True,True,3,False,0
order_011900,user_2944,282,33007,32271,6.8,14,ewallet,True,True,1,False,0
order_025873,user_10552,12,153814,39637,16.0,9,cod,False,False,5,True,75
order_026226,user_14380,9,199790,23427,13.2,17,cod,True,False,9,True,75
order_015806,user_3077,312,36360,42843,3.6,16,ewallet,True,False,1,False,10
order_009556,user_2779,208,32435,24847,3.7,10,credit,True,True,1,False,0
order_007568,user_9056,124,26954,21253,1.4,20,ewallet,True,True,3,False,0
order_003508,user_6646,171,36983,41147,3.4,20,ewallet,True,False,2,False,10
order_008835,user_9898,149,62022,62055,6.1,13,ewallet,True,False,1,False,10
order_018785,user_7802,217,47248,50169,2.0,5,cod,True,True,1,False,20
order_029858,user_18739,12,233978,30542,11.8,2,cod,False,False,5,True,90
order_023588,user_4702,42,25983,26790,1.5,8,credit,False,True,2,False,10
order_028268,user_12623,2,128532,23926,13.9,8,credit,False,False,7,True,90
order_005845,user_2326,164,69351,78752,6.0,11,ewallet,False,True,1,False,10
order_026477,user_16224,2,231549,39726,10.0,3,cod,True,False,7,True,85
order_024199,user_12216,9,280725,34041,17.6,13,cod,False,False,4,True,75
order_028882,user_11154,13,282614,37502,18.7,17,cod,False,False,6,True,85
order_004846,user_4481,358,74886,76066,1.4,15,ewallet,False,True,2,False,10
order_004986,user_8560,89,53653,55807,7.0,22,ewallet,True,True,1,False,0
order_023400,user_9668,349,28721,23292,7.7,12,cod,True,False,2,False,15
order_025570,user_12902,7,203422,28130,13.9,3,cod,False,False,4,True,90
order_020263,user_6102,219,59308,63047,6.6,20,cod,True,True,2,False,5
order_020857,user_2966,209,52822,44111,7.9,10,ewallet,True,True,1,False,0
order_026823,user_19730,8,248195,29389,16.7,12,cod,False,True,9,True,75
order_009318,user_8442,327,55851,60492,2.0,16,credit,True,True,1,False,0
order_025507,user_19612,12,228475,29525,9.3,21,cod,True,False,8,True,60
order_014848,user_3064,261,55392,49524,6.9,11,ewallet,False,True,1,False,10
order_007843,user_4867,55,58177,65899,7.6,10,credit,True,True,1,False,0
order_028648,user_17658,0,112996,22599,18.5,23,cod,True,False,4,True,90
order_029985,user_17016,6,289176,21093,15.1,5,cod,True,True,4,True,80
order_013049,user_1726,209,32007,37939,6.9,10,ewallet,False,True,2,False,10
order_025100,user_10479,0,278325,20314,19.8,0,cod,False,False,4,True,100
order_014857,user_4247,190,29021,35468,2.0,8,credit,True,True,2,False,0
order_025014,user_19014,8,117891,21721,8.1,16,cod,False,False,10,True,70
order_010740,user_8096,311,74282,70079,5.3,11,cod,True,True,3,False,5
order_016095,user_5635,47,64707,74635,5.9,17,ewallet,False,True,3,False,10
order_002209,user_4902,347,27134,26292,2.8,15,ewallet,True,True,1,False,0
order_018841,user_3778,127,43958,41592,1.3,10,credit,False,True,2,False,10
order_028273,user_15941,13,255460,23308,19.8,0,cod,False,False,8,True,100
order_022373,user_3382,354,69152,63777,7.6,13,ewallet,True,True,2,False,0
order_002267,user_2481,264,73335,63534,4.7,19,ewallet,True,True,1,False,0
order_005227,user_2118,173,72268,69695,7.9,7,credit,False,False,2,False,20
order_028302,user_15168,11,273469,21689,9.1,1,cod,True,False,10,True,75
order_021579,user_2613,36,56235,52450,7.3,6,ewallet,True,True,1,False,0
order_020123,user_1575,207,56954,49427,2.9,12,ewallet,True,True,1,False,0
order_017893,user_5564,263,26401,25414,4.8,19,credit,True,True,1,False,0
order_020928,user_7143,221,58663,64790,7.5,16,credit,True,True,2,False,0
order_013023,user_5983,116,47424,55025,2.2,23,ewallet,True,True,2,False,15
order_020737,user_8518,171,26448,35928,7.3,4,credit,True,False,1,False,25
order_027367,user_19867,2,211315,22575,14.6,15,cod,False,False,8,True,95
order_011741,user_2785,180,47709,44523,1.1,16,ewallet,True,True,1,False,0
order_006548,user_3235,102,60593,61885,3.0,10,ewallet,True,True,1,False,0
order_003283,user_1218,159,41718,45056,6.9,20,credit,True,True,1,False,0
order_015615,user_9318,139,36049,37184,2.8,22,credit,True,False,3,False,10
order_023662,user_8434,313,46246,36246,4.9,10,cod,True,True,3,False,5
order_002277,user_9662,114,64363,67949,4.9,16,credit,True,True,1,False,0
order_026051,user_16598,0,113468,27699,18.2,1,cod,False,False,4,True,100
order_012355,user_3457,52,26155,27714,2.7,11,ewallet,True,True,1,False,0
order_016486,user_3370,80,59807,53774,7.6,12,credit,True,True,1,False,0
order_019536,user_9920,49,61681,65437,7.6,23,credit,True,True,1,False,15
order_018674,user_2697,262,47795,55738,3.6,9,credit,True,True,2,False,0
order_008697,user_4805,138,58654,49716,3.9,11,ewallet,True,True,2,False,0
order_022565,user_9051,92,60525,68570,8.0,22,credit,True,False,2,False,10
order_016380,user_8928,99,25542,27865,5.4,20,ewallet,True,True,3,False,0
order_025295,user_19025,14,232480,21158,18.0,6,cod,False,False,4,True,75
order_028681,user_18536,10,116410,36942,9.1,4,cod,False,True,9,True,75
order_024992,user_19124,5,235735,30770,14.3,1,cod,True,False,10,True,100
order_029670,user_18747,14,222790,39780,14.6,5,credit,False,True,6,True,85
order_005837,user_5728,99,64717,60940,2.5,3,credit,True,True,3,False,15
order_010236,user_1536,328,65613,57075,4.2,20,ewallet,False,False,3,False,20
order_022825,user_1908,71,70697,66534,3.2,20,credit,True,True,3,False,0
order_000280,user_3711,56,50974,50984,6.1,18,ewallet,True,True,1,False,0
order_022377,user_6484,277,63420,72985,4.4,21,ewallet,True,True,3,False,0
order_025274,user_18414,14,150695,32616,17.4,23,credit,False,True,5,True,75
order_005161,user_8794,70,43108,36672,2.9,22,ewallet,True,True,2,False,0
order_029753,user_14248,5,135590,21999,18.6,4,cod,False,False,7,True,100
order_003691,user_4543,67,37769,35710,6.7,12,credit,True,True,2,False,0
order_005916,user_7298,327,72971,69678,4.6,8,credit,True,True,1,False,0
order_011579,user_1024,295,41527,47402,7.3,12,cod,True,False,1,False,15
order_018079,user_2667,66,45583,51139,6.5,5,ewallet,True,True,1,False,15
order_019537,user_4715,205,34245,43278,7.4,10,credit,True,True,1,False,0
order_026024,user_11620,1,222103,22856,18.9,3,cod,True,True,8,True,90
order_029720,user_12829,12,229382,29695,19.2,0,ewallet,False,False,6,True,95
order_021740,user_5867,62,32851,26775,2.6,14,ewallet,False,True,1,False,10
order_025744,user_19622,1,201553,25141,14.5,8,ewallet,False,False,9,True,90
order_020553,user_3511,68,31629,40913,8.0,17,ewallet,True,True,3,False,0
order_011703,user_4691,105,38980,31048,2.8,8,ewallet,True,True,2,False,0
order_011515,user_9397,216,27255,20507,7.2,9,ewallet,True,True,3,False,0
order_009007,user_2789,53,64259,69494,5.3,18,cod,True,True,3,False,5
order_011743,user_1477,265,38237,39927,6.2,18,ewallet,True,True,1,False,0
order_028262,user_18562,14,198119,36336,18.0,10,ewallet,False,False,5,True,70
order_016470,user_4534,298,69602,73240,5.8,16,cod,True,True,2,False,5
order_013677,user_2836,136,26277,23906,7.9,22,ewallet,True,True,1,False,0
order_020164,user_8985,239,63785,60250,5.2,11,ewallet,True,False,1,False,10
order_016786,user_4344,169,72857,72503,1.6,13,cod,True,True,1,False,5
order_029323,user_10681,11,108228,33165,14.7,2,ewallet,False,False,5,True,85
order_015694,user_2121,239,47060,45739,6.9,18,credit,True,True,1,False,0
order_017336,user_8623,31,61937,64145,3.2,19,ewallet,True,True,1,False,0
order_003736,user_2233,300,39433,38541,4.4,15,cod,False,True,3,False,15
order_025485,user_13532,7,171264,31251,8.5,10,cod,False,False,7,True,70
order_003644,user_5434,243,70129,66121,2.1,7,ewallet,True,True,1,False,0
order_007199,user_1073,346,30276,35722,6.1,16,credit,False,True,3,False,10
order_025366,user_16448,7,293704,22534,9.2,14,cod,False,False,5,True,60
order_024937,user_11923,1,218684,28776,15.6,20,ewallet,False,True,4,True,70
order_021306,user_5207,77,47583,46229,4.6,10,credit,True,False,2,False,10
order_029366,user_14388,7,242869,25910,16.1,11,cod,False,False,5,True,75
order_021524,user_1147,138,54030,58028,2.8,14,credit,False,True,1,False,10
order_021719,user_2487,345,26274,31174,4.1,16,ewallet,True,True,2,False,0
order_001838,user_7003,166,33643,27091,6.8,11,ewallet,True,True,1,False,0
order_029916,user_10295,7,268566,34240,15.8,0,cod,True,False,5,True,80
order_010985,user_9855,31,69767,75736,6.7,7,credit,True,False,2,False,10
order_009304,user_7484,101,32212,34911,6.8,6,ewallet,True,True,1,False,0
order_012800,user_9578,152,53573,61219,7.9,16,cod,True,True,2,False,5
order_001458,user_5952,123,39642,40785,7.1,15,ewallet,True,True,3,False,0
order_001093,user_5309,364,26964,18021,3.4,10,ewallet,True,True,2,False,0
order_004150,user_9227,64,59775,58520,4.1,8,ewallet,True,False,2,False,10
order_011009,user_7903,170,35712,43419,5.2,7,ewallet,True,True,3,False,0
order_027069,user_19080,5,118445,35145,14.9,1,cod,False,True,9,True,100
order_009190,user_2441,180,62933,66880,7.3,13,cod,True,False,2,False,15
order_004933,user_1542,115,65497,69077,4.2,20,ewallet,True,True,3,False,0
order_014466,user_4540,342,38592,42321,3.5,12,ewallet,True,True,1,False,0
order_004557,user_9449,245,44867,35759,5.3,12,ewallet,True,True,1,False,0
order_011489,user_1731,288,58494,56422,5.6,16,cod,True,True,2,False,5
order_012075,user_1788,189,29066,27777,1.2,13,ewallet,True,True,2,False,0
order_025102,user_14286,13,259766,21941,11.7,12,cod,False,False,10,True,85
order_016798,user_8517,132,37907,42449,3.8,10,ewallet,True,True,2,False,0
order_020071,user_4983,216,34367,40695,3.0,19,ewallet,True,False,1,False,10
order_014419,user_8406,91,71810,68378,3.3,8,ewallet,True,True,1,False,0
order_028246,user_14592,2,266679,39343,15.1,22,credit,False,False,5,True,80
order_025390,user_19891,4,160071,34095,10.1,2,credit,False,False,9,True,100
order_024997,user_10648,13,261850,22510,8.7,18,cod,False,False,7,True,70
order_017279,user_4454,306,61181,51300,5.3,12,cod,True,True,1,False,5
order_006482,user_7251,169,58703,57659,1.2,17,credit,True,True,1,False,0
order_008021,user_7871,352,60970,51574,4.2,22,credit,True,True,1,False,0
order_009101,user_4600,92,44963,52943,1.6,10,ewallet,False,True,3,False,10
order_017477,user_3214,93,45830,36333,2.3,11,ewallet,True,False,1,False,10
order_008590,user_1885,236,70574,71980,7.5,7,ewallet,False,True,2,False,10
order_029162,user_13412,1,166948,23023,15.9,23,credit,False,False,5,True,95
order_024516,user_14119,6,251948,36448,18.8,2,cod,False,False,4,True,100
order_027275,user_18873,7,100515,33832,17.1,14,credit,False,True,8,True,60
order_023873,user_8474,346,34281,34572,1.7,19,credit,True,True,1,False,0
order_029364,user_12665,5,208866,23991,18.3,5,ewallet,False,False,4,True,95
order_001504,user_5907,221,26564,26871,4.4,18,ewallet,True,True,1,False,0
order_009937,user_7135,106,51833,52094,2.9,21,ewallet,True,True,2,False,0
order_010940,user_3601,155,73675,67318,6.7,22,ewallet,True,False,1,False,10
order_020295,user_2043,144,69372,65904,4.1,3,cod,True,True,2,False,20
order_003950,user_6302,293,60510,69933,5.3,0,credit,False,True,2,False,25
order_006439,user_5089,97,49460,48347,5.1,12,credit,False,True,1,False,10
order_013620,user_8177,110,74631,82571,6.0,20,ewallet,True,True,2,False,0
order_014304,user_6912,48,58473,50539,1.8,20,ewallet,True,True,1,False,0
order_022094,user_9953,319,65065,71681,5.5,20,ewallet,True,True,2,False,0
order_015949,user_8283,360,43134,40679,3.0,7,credit,True,True,2,False,0
order_028190,user_12997,9,191145,26642,19.4,20,credit,False,False,4,True,70
order_013065,user_9197,72,43310,46334,3.9,17,cod,True,True,1,False,5
order_013251,user_2227,56,61234,61970,7.4,15,credit,True,True,1,False,0
order_029167,user_12364,8,160140,27416,10.5,20,cod,False,True,7,True,75
order_007744,user_7355,238,49420,59118,6.5,19,ewallet,True,True,3,False,0
order_026227,user_18239,12,246546,29957,14.1,23,cod,False,False,7,True,100
order_007756,user_3424,220,51796,61426,1.3,18,ewallet,True,True,2,False,0
order_001413,user_4193,298,58038,57293,2.7,12,credit,False,True,1,False,10
order_006529,user_3431,323,40125,48487,7.7,11,ewallet,True,True,1,False,0
order_001123,user_6930,148,54872,55187,6.2,7,ewallet,True,True,1,False,0
order_016334,user_5544,144,33819,36691,7.8,10,ewallet,True,True,2,False,0
order_005246,user_7857,177,38442,29033,7.4,7,ewallet,True,False,1,False,10
order_012153,user_6902,359,68878,69862,6.4,17,ewallet,True,True,1,False,0
order_019641,user_5912,243,44834,44799,7.6,18,ewallet,True,True,2,False,0
order_025208,user_17278,8,293346,27549,14.2,4,credit,False,False,8,True,95
order_009434,user_8637,161,37246,29718,4.3,13,credit,True,True,1,False,0
